epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
67,9586.9,0.88481,1.39434,1.38153,0.79867,0.62579,0.72283,0.62374,0.56122,0.92309,1.09933,0.000649875,0.000216625,0.000649875,0.000216625,0.000649875,0.000216625,0.000649875,0.000216625
68,9745.3,0.89884,1.38757,1.38419,0.77001,0.64877,0.7164,0.61713,0.56582,0.91792,1.10107,0.000631312,0.000210437,0.000631312,0.000210437,0.000631312,0.000210437,0.000631312,0.000210437
69,9902.27,0.89673,1.39647,1.38651,0.81786,0.61484,0.72613,0.62729,0.55986,0.90774,1.09569,0.00061275,0.00020425,0.00061275,0.00020425,0.00061275,0.00020425,0.00061275,0.00020425
70,10068.9,0.89007,1.37777,1.38934,0.70648,0.65397,0.72533,0.63031,0.55326,0.90867,1.09465,0.000594188,0.000198063,0.000594188,0.000198063,0.000594188,0.000198063,0.000594188,0.000198063
71,10226.7,0.88973,1.3827,1.3813,0.79971,0.65795,0.73009,0.63557,0.55876,0.90945,1.09632,0.000575625,0.000191875,0.000575625,0.000191875,0.000575625,0.000191875,0.000575625,0.000191875
72,10381.3,0.885,1.36915,1.3787,0.82453,0.62486,0.72182,0.62655,0.55989,0.90931,1.09695,0.000557063,0.000185688,0.000557063,0.000185688,0.000557063,0.000185688,0.000557063,0.000185688
73,10537.1,0.88707,1.38508,1.38054,0.78728,0.65303,0.7295,0.63297,0.55532,0.89172,1.09206,0.0005385,0.0001795,0.0005385,0.0001795,0.0005385,0.0001795,0.0005385,0.0001795
74,10694,0.8739,1.35112,1.37215,0.80074,0.65935,0.73015,0.6342,0.55272,0.89627,1.08869,0.000519938,0.000173313,0.000519938,0.000173313,0.000519938,0.000173313,0.000519938,0.000173313
75,10852.2,0.88237,1.34276,1.37608,0.8581,0.617,0.73846,0.6392,0.55762,0.89295,1.09217,0.000501375,0.000167125,0.000501375,0.000167125,0.000501375,0.000167125,0.000501375,0.000167125
76,11009.8,0.88303,1.36391,1.37842,0.82417,0.62875,0.73388,0.63815,0.55495,0.88812,1.08721,0.000482813,0.000160938,0.000482813,0.000160938,0.000482813,0.000160938,0.000482813,0.000160938
